iter	MultiClass
0	1.059205456
1	1.022417829
2	0.9910747647
3	0.9613807274
4	0.9400689645
5	0.9194367263
6	0.8961205091
7	0.8757272971
8	0.8602884766
9	0.8428658384
10	0.8295288808
11	0.8141234295
12	0.7975685882
13	0.7841439755
14	0.77158796
15	0.7603893992
16	0.7463188538
17	0.7384885282
18	0.729036068
19	0.7203181264
20	0.7131177102
21	0.7045026068
22	0.6965721471
23	0.6907372034
24	0.6833564249
25	0.6762702212
26	0.6698571921
27	0.6616940409
28	0.6550428782
29	0.6493993386
30	0.643400634
31	0.6386515394
32	0.6344275019
33	0.6286389656
34	0.6238659859
35	0.6199055099
36	0.6183156454
37	0.6136688453
38	0.6101156702
39	0.6055241
40	0.6025707044
41	0.5960541554
42	0.5936761087
43	0.5901379442
44	0.5863769497
45	0.5835204626
46	0.5801454879
47	0.5777145315
48	0.5743314383
49	0.5713440631
50	0.5685555706
51	0.5665362947
52	0.5623504227
53	0.5603463048
54	0.5575325313
55	0.5557107688
56	0.5531698967
57	0.5506435393
58	0.5473073197
59	0.5443913061
60	0.5414166726
61	0.5399194465
62	0.5363480608
63	0.534130503
64	0.5310024134
65	0.5297390434
66	0.5271030752
67	0.5255144087
68	0.5233042444
69	0.5205479969
70	0.518958275
71	0.5171188904
72	0.5141661718
73	0.51209613
74	0.5096293887
75	0.5081633412
76	0.5066934528
77	0.5043100811
78	0.5021672403
79	0.5009190008
80	0.4996982016
81	0.4980655788
82	0.4958111245
83	0.4930113128
84	0.4909005839
85	0.4889318651
86	0.4874842101
87	0.4857559949
88	0.4846881925
89	0.4822043888
90	0.4808326623
91	0.4796032636
92	0.4778018
93	0.4767836138
94	0.4759799289
95	0.4736926614
96	0.472709703
97	0.4705018937
98	0.4690902359
99	0.4667782146
100	0.4651092354
101	0.4635039474
102	0.4628017275
103	0.4617847887
104	0.4604397874
105	0.4591485204
106	0.4579033528
107	0.4571688519
108	0.4560589758
109	0.4543349111
110	0.4527236559
111	0.4510197573
112	0.4497519633
113	0.4482603235
114	0.4473329539
115	0.4466162226
116	0.446049441
117	0.4449168669
118	0.4440183097
119	0.4431906818
120	0.4424386749
121	0.4405797897
122	0.4392133639
123	0.4382260248
124	0.4370318478
125	0.4350885854
126	0.4332169788
127	0.4325062022
128	0.4314665799
129	0.4309575296
130	0.4300084734
131	0.4283444011
132	0.4275249702
133	0.4265661882
134	0.4257543893
135	0.4246788817
136	0.4231038405
137	0.4224343011
138	0.421591889
139	0.4205037902
140	0.4196493094
141	0.418087945
142	0.4168673098
143	0.4159424241
144	0.4145963661
145	0.4135532798
146	0.4123978283
147	0.4110072606
148	0.4099130226
149	0.4089145006
150	0.4079737039
151	0.4073995013
152	0.4066489163
153	0.4061274476
154	0.4052662618
155	0.4039290715
156	0.4027476168
157	0.4019780753
158	0.4013706203
159	0.4008268997
160	0.4003554742
161	0.3992448111
162	0.3980118078
163	0.3970955715
164	0.3960819328
165	0.3950994613
166	0.394743079
167	0.394144291
168	0.393378539
169	0.3920885019
170	0.3914786624
171	0.3907429437
172	0.3898074184
173	0.388540427
174	0.3881452596
175	0.3876071743
176	0.386785678
177	0.3861161832
178	0.385822595
179	0.3850877086
180	0.3838692346
181	0.3828398254
182	0.3819297351
183	0.380842582
184	0.3796295222
185	0.3786519437
186	0.3778824474
187	0.3767408486
188	0.3758289778
189	0.3752569755
190	0.3746862879
191	0.3741487374
192	0.3735881256
193	0.3724694155
194	0.3719576597
195	0.3709723598
196	0.3703081894
197	0.3693242601
198	0.3684769664
199	0.36762308
200	0.366564572
201	0.3655885421
202	0.3646139253
203	0.3641164231
204	0.3635974783
205	0.3633565
206	0.3622788351
207	0.3614787179
208	0.3604059432
209	0.3595686612
210	0.3589583546
211	0.3582439854
212	0.3576154668
213	0.3567377553
214	0.3559274236
215	0.3554993163
216	0.3548839048
217	0.353934343
218	0.3532505278
219	0.3528096942
220	0.352455966
221	0.3510850217
222	0.3505077074
223	0.3495005816
224	0.3490993649
225	0.3487419281
226	0.3482740672
227	0.3472682537
228	0.3467614544
229	0.3462104315
230	0.3458954124
231	0.3454010152
232	0.3448981863
233	0.3445893104
234	0.3438163224
235	0.3431291236
236	0.3424559902
237	0.3419035255
238	0.3416099023
239	0.3411642314
240	0.3405911064
241	0.3400680201
242	0.3395708833
243	0.3386287468
244	0.3379770874
245	0.3373148141
246	0.336803612
247	0.3361464013
248	0.3357609749
249	0.335262075
250	0.3348716815
251	0.3341164037
252	0.3334034305
253	0.332633761
254	0.331503487
255	0.3311610195
256	0.3307311705
257	0.3300341985
258	0.3294575187
259	0.3290833221
260	0.3283675249
261	0.3276634923
262	0.3271538368
263	0.326702404
264	0.3262102375
265	0.3258808695
266	0.3249144478
267	0.3243951677
268	0.3237821679
269	0.3229012894
270	0.3221748893
271	0.3217769614
272	0.3212382651
273	0.3206410651
274	0.3202035564
275	0.3197589073
276	0.3193252373
277	0.3188263555
278	0.3180898278
279	0.3171730185
280	0.3167932295
281	0.3162843492
282	0.3157219583
283	0.3152085347
284	0.3145523316
285	0.3141661469
286	0.3137590803
287	0.313344109
288	0.3128570985
289	0.3123843606
290	0.3122331832
291	0.3116221902
292	0.3111184841
293	0.3108163677
294	0.3102644113
295	0.309918054
296	0.3094832244
297	0.3088590791
298	0.3082997523
299	0.3078455508
