iter	Passed	Remaining
0	32	9860
1	37	5549
2	41	4069
3	45	3332
4	50	2959
5	54	2693
6	59	2496
7	66	2411
8	70	2294
9	80	2334
10	85	2249
11	92	2218
12	98	2181
13	103	2111
14	107	2051
15	113	2008
16	117	1958
17	123	1927
18	128	1904
19	133	1866
20	138	1841
21	144	1829
22	148	1793
23	152	1755
24	157	1728
25	162	1712
26	166	1686
27	171	1661
28	176	1644
29	180	1621
30	184	1602
31	188	1579
32	193	1569
33	198	1550
34	202	1535
35	207	1523
36	209	1486
37	214	1477
38	218	1459
39	224	1458
40	228	1445
41	232	1430
42	237	1416
43	242	1409
44	246	1397
45	250	1385
46	256	1378
47	260	1365
48	264	1354
49	268	1342
50	274	1339
51	278	1330
52	283	1320
53	289	1317
54	293	1308
55	297	1297
56	302	1290
57	308	1287
58	312	1276
59	316	1267
60	321	1260
61	326	1252
62	330	1242
63	334	1234
64	340	1229
65	344	1222
66	349	1215
67	354	1210
68	358	1200
69	362	1192
70	367	1184
71	373	1181
72	377	1173
73	383	1172
74	389	1167
75	392	1157
76	396	1149
77	402	1144
78	405	1135
79	410	1129
80	414	1121
81	420	1117
82	424	1109
83	428	1102
84	432	1094
85	438	1090
86	442	1083
87	446	1076
88	452	1072
89	457	1068
90	463	1063
91	468	1058
92	472	1051
93	476	1044
94	480	1037
95	486	1034
96	491	1027
97	495	1021
98	501	1018
99	506	1012
100	510	1006
101	517	1003
102	524	1003
103	533	1006
104	541	1006
105	548	1004
106	555	1002
107	560	996
108	566	992
109	570	985
110	575	980
111	581	975
112	585	968
113	589	961
114	593	954
115	598	949
116	602	942
117	606	935
118	610	929
119	616	924
120	620	917
121	624	911
122	628	904
123	633	899
124	637	892
125	641	886
126	647	881
127	651	875
128	655	869
129	659	862
130	664	857
131	668	851
132	673	845
133	677	838
134	682	834
135	686	827
136	689	820
137	692	813
138	697	807
139	700	800
140	703	793
141	706	786
142	710	780
143	715	774
144	719	769
145	723	763
146	728	758
147	732	752
148	736	746
149	739	739
150	745	735
151	749	729
152	753	724
153	757	717
154	762	713
155	766	707
156	769	700
157	773	694
158	777	689
159	781	683
160	785	678
161	792	674
162	797	670
163	802	665
164	805	659
165	810	654
166	814	648
167	817	642
168	821	636
169	826	631
170	829	625
171	832	619
172	835	613
173	838	607
174	842	602
175	845	596
176	849	590
177	852	584
178	857	579
179	861	574
180	865	568
181	869	563
182	873	558
183	877	553
184	882	548
185	885	542
186	889	537
187	893	532
188	898	527
189	903	523
190	908	518
191	911	512
192	915	507
193	919	502
194	923	497
195	928	492
196	932	487
197	937	482
198	941	477
199	945	472
200	948	467
201	953	462
202	956	457
203	960	451
204	963	446
205	966	441
206	971	436
207	975	431
208	979	426
209	982	421
210	987	416
211	991	411
212	995	406
213	999	401
214	1004	397
215	1009	392
216	1014	387
217	1019	383
218	1023	378
219	1027	373
220	1031	368
221	1037	364
222	1044	360
223	1052	356
224	1058	352
225	1063	348
226	1071	344
227	1076	339
228	1080	334
229	1086	330
230	1090	325
231	1095	321
232	1102	316
233	1106	312
234	1111	307
235	1117	302
236	1121	298
237	1125	293
238	1130	288
239	1135	283
240	1139	278
241	1144	274
242	1149	269
243	1153	264
244	1157	259
245	1162	255
246	1167	250
247	1172	245
248	1176	241
249	1182	236
250	1186	231
251	1191	226
252	1195	222
253	1199	217
254	1203	212
255	1207	207
256	1213	203
257	1218	198
258	1222	193
259	1226	188
260	1231	184
261	1235	179
262	1239	174
263	1243	169
264	1248	164
265	1251	160
266	1255	155
267	1259	150
268	1264	145
269	1268	140
270	1272	136
271	1277	131
272	1281	126
273	1285	121
274	1288	117
275	1292	112
276	1297	107
277	1301	102
278	1305	98
279	1310	93
280	1314	88
281	1317	84
282	1321	79
283	1325	74
284	1329	69
285	1333	65
286	1336	60
287	1340	55
288	1346	51
289	1350	46
290	1354	41
291	1359	37
292	1363	32
293	1366	27
294	1370	23
295	1375	18
296	1379	13
297	1382	9
298	1388	4
299	1393	0
